Designator,Qty,Manufacturer,Part #,Description/Value,Package/Footprint,Mounting Type,Notes,Supplier URL,Price (1 set) [USD],Price (100 sets) [USD],Price (1000 sets) [USD]
"C4, C8, C10, C12, C13, C14, C16, C17, C20, C23",10,Murata,GRM155R60J104KA01D,"Ceramic capacitor, 100 nF",402,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R60J104KA01D/490-6287-1-ND/3845484,0.33,14.6,81.7
"C3, C5, C6, C7, C9",5,Murata,GRM155R60J103KA01D,"Ceramic capacitor, 10 nF",402,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R60J103KA01D/490-6286-1-ND/3845483,0.5,4.43,29.1
C2,1,Murata,GRM1555C1H101JA01J,"Ceramic capacitor, 100 pF",402,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRM1555C1H101JA01J/490-7754-1-ND/4358006,0.1,0.81,4.54
C1,1,Murata,GRM1555C1H220JA01D,"Ceramic capacitor, 22 pF",402,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRM1555C1H220JA01D/490-5868-1-ND/3175200,0.1,0.81,4.57
"C21, C22",2,Murata,GRM1555C1H180JA01D,"Ceramic capacitor, 18 pF",402,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRM1555C1H180JA01D/2854383,0.2,2.32,13
"C11, C19, C24, C25",4,Murata,GRM188R60J105KA01D,"Multi-layer ceramic capacitor, 1 uF, 6.3 V, X5R",603,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRM188R60J105KA01D/490-1550-1-ND/587755,0.4,11,61.84
C18,1,Murata,GRM185R60J475ME15D,"Multi-layer ceramic capacitor, 4.7 uF, 6.3 V, X5R",603,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRM185R60J475ME15D/490-3892-1-ND/965934,0.3,11.67,72.02
C15,1,Murata,GRM188R60J106KE47D,"Multi-layer ceramic capacitor, 10 uF, 6.3 V, X5R",603,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRM188R60J106KE47D/490-12538-1-ND/5797528,0.15,5.07,29.44
L1,1,Delta Electronics,0402HS-390EKTS,"Fixed inductor, 39 nH, 200 mA, 550 MOhm",402,SMD,,https://www.digikey.com/en/products/detail/0402HS-390EKTS/2035-0402HS-390EKTSCT-ND/10231211,0.26,15.68,109.72
L2,1,Murata,BLM15HB221SH1D,Ferrite bead,402,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/BLM15HB221SH1D/6798444,0.1,4.36,25.08
